Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Blossoming Calm (Showcase),Blossoming Calm,Modern Horizons 2,327,MH2,Normal,Near Mint,English,Uncommon,240466,5006971
1,Lens Flare (Showcase),Lens Flare,Modern Horizons 2,330,MH2,Normal,Near Mint,English,Common,240467,5007081
1,Swords to Plowshares,Swords to Plowshares,Eternal Masters,32,EMA,Normal,Near Mint,English,Uncommon,118607,3145802
1,Reveillark,Reveillark,Double Masters 2022,26,2X2,Normal,Near Mint,English,Rare,277158,5709849
2,Etherium Spinner,Etherium Spinner,Modern Horizons 2,40,MH2,Normal,Near Mint,English,Common,240385,4999551
1,Thought Scour (Borderless),Thought Scour,Double Masters 2022,351,2X2,Normal,Near Mint,English,Common,276280,5689688
1,Spell Pierce (Borderless),Spell Pierce,Double Masters 2022,350,2X2,Normal,Near Mint,English,Common,277164,5710149
1,Capture Sphere,Capture Sphere,Double Masters 2022,42,2X2,Normal,Near Mint,English,Common,277135,5708699
1,Mulldrifter,Mulldrifter,Double Masters 2022,60,2X2,Normal,Near Mint,English,Uncommon,276272,5689293
1,Kasmina's Transmutation,Kasmina's Transmutation,Double Masters 2022,54,2X2,Normal,Near Mint,English,Common,277150,5709449
1,Deranged Assistant,Deranged Assistant,Double Masters 2022,45,2X2,Normal,Near Mint,English,Common,277139,5708899
1,Pull from Tomorrow,Pull from Tomorrow,Double Masters 2022,62,2X2,Normal,Near Mint,English,Rare,276791,5703337
1,Tide Shaper (Retro Frame),Tide Shaper,Modern Horizons 2,394,MH2,Foil,Near Mint,English,Uncommon,240255,4993130
1,Faerie Seer (Retro Frame),Faerie Seer,Modern Horizons,8,MH1,Foil,Near Mint,English,Uncommon,239610,4958224
1,Aeromoeba (Retro Frame),Aeromoeba,Modern Horizons 2,389,MH2,Foil,Near Mint,English,Common,239952,4976818
2,Junk Winder,Junk Winder,Modern Horizons 2,48,MH2,Normal,Near Mint,English,Uncommon,239774,4968521
1,Parcel Myr,Parcel Myr,Modern Horizons 2,54,MH2,Normal,Near Mint,English,Common,240389,4999991
1,Tide Shaper,Tide Shaper,Modern Horizons 2,72,MH2,Normal,Near Mint,English,Uncommon,240181,4987772
1,Steelfin Whale,Steelfin Whale,Modern Horizons 2,65,MH2,Normal,Near Mint,English,Common,240271,4994275
1,Hard Evidence,Hard Evidence,Modern Horizons 2,46,MH2,Normal,Near Mint,English,Common,240208,4989475
1,Raving Visionary,Raving Visionary,Modern Horizons 2,56,MH2,Normal,Near Mint,English,Uncommon,240165,4986062
1,Aeromoeba (Retro Frame),Aeromoeba,Modern Horizons 2,389,MH2,Normal,Near Mint,English,Common,239952,4976813
1,So Shiny,So Shiny,Modern Horizons 2,63,MH2,Foil,Near Mint,English,Common,239663,4960266
1,Phantasmal Dreadmaw,Phantasmal Dreadmaw,Modern Horizons 2,55,MH2,Normal,Near Mint,English,Common,239798,4970156
1,Floodhound (Showcase),Floodhound,Modern Horizons 2,335,MH2,Normal,Near Mint,English,Common,240248,4992565
1,Step Through (Retro Frame),Step Through,Modern Horizons 2,392,MH2,Foil,Near Mint,English,Common,239784,4969361
1,Scuttletide,Scuttletide,Modern Horizons 2,61,MH2,Normal,Near Mint,English,Uncommon,240030,4977755
1,Unearth (Borderless),Unearth,Double Masters 2022,357,2X2,Normal,Near Mint,English,Common,276320,5691428
1,Disfigure,Disfigure,Double Masters 2022,74,2X2,Normal,Near Mint,English,Common,277232,5713149
1,Tizerus Charger,Tizerus Charger,Modern Horizons 2,101,MH2,Normal,Near Mint,English,Common,240398,5000981
2,Sudden Edict (Showcase),Sudden Edict,Modern Horizons 2,346,MH2,Normal,Near Mint,English,Uncommon,240273,4994445
1,Kitchen Imp (Showcase),Kitchen Imp,Modern Horizons 2,343,MH2,Normal,Near Mint,English,Common,239724,4964396
1,Clattering Augur,Clattering Augur,Modern Horizons 2,79,MH2,Normal,Near Mint,English,Uncommon,240058,4980735
2,World-Weary (Showcase),World-Weary,Modern Horizons 2,348,MH2,Normal,Near Mint,English,Common,240234,4991265
1,Sinister Starfish,Sinister Starfish,Modern Horizons 2,99,MH2,Normal,Near Mint,English,Common,240259,4993325
1,Vile Entomber (Retro Frame),Vile Entomber,Modern Horizons 2,403,MH2,Foil,Near Mint,English,Uncommon,240240,4991850
1,Discerning Taste,Discerning Taste,Modern Horizons 2,82,MH2,Normal,Near Mint,English,Common,239740,4965836
1,Necromancer's Familiar,Necromancer's Familiar,Modern Horizons 2,94,MH2,Normal,Near Mint,English,Uncommon,239842,4974676
1,Echoing Return,Echoing Return,Modern Horizons 2,83,MH2,Normal,Near Mint,English,Common,240203,4989030
1,Gilt-Blade Prowler,Gilt-Blade Prowler,Modern Horizons 2,86,MH2,Normal,Near Mint,English,Common,240388,4999881
2,Nested Shambler,Nested Shambler,Modern Horizons 2,95,MH2,Normal,Near Mint,English,Common,240395,5000651
2,Nested Shambler (Retro Frame),Nested Shambler,Modern Horizons 2,399,MH2,Foil,Near Mint,English,Common,240447,5005496
1,Purphoros's Emissary,Purphoros's Emissary,Double Masters 2022,121,2X2,Normal,Near Mint,English,Common,277217,5712449
1,Goblin Banneret,Goblin Banneret,Double Masters 2022,110,2X2,Normal,Near Mint,English,Uncommon,276977,5706880
1,Living Lightning,Living Lightning,Double Masters 2022,118,2X2,Normal,Near Mint,English,Common,277219,5712549
1,Titan's Strength,Titan's Strength,Double Masters 2022,128,2X2,Normal,Near Mint,English,Common,277209,5712049
1,Mine Collapse (Retro Frame),Mine Collapse,Modern Horizons 2,408,MH2,Foil,Near Mint,English,Common,240449,5005636
1,Magmatic Sinkhole (Retro Frame),Magmatic Sinkhole,Modern Horizons,17,MH1,Foil,Near Mint,English,Uncommon,240420,5003001
2,Battle Plan,Battle Plan,Modern Horizons 2,114,MH2,Normal,Near Mint,English,Common,240054,4980295
1,Gouged Zealot,Gouged Zealot,Modern Horizons 2,131,MH2,Normal,Near Mint,English,Common,240394,5000541
1,Gorilla Shaman,Gorilla Shaman,Modern Horizons 2,280,MH2,Normal,Near Mint,English,Uncommon,240057,4980625
2,Lightning Spear,Lightning Spear,Modern Horizons 2,134,MH2,Normal,Near Mint,English,Common,240397,5000871
1,Viashino Lashclaw,Viashino Lashclaw,Modern Horizons 2,146,MH2,Normal,Near Mint,English,Common,240404,5001641
1,Flame Rift,Flame Rift,Modern Horizons 2,278,MH2,Normal,Near Mint,English,Uncommon,239806,4971036
2,Faithless Salvaging (Showcase),Faithless Salvaging,Modern Horizons 2,349,MH2,Normal,Near Mint,English,Common,240247,4992455
2,Gargadon (Showcase),Gargadon,Modern Horizons 2,351,MH2,Normal,Near Mint,English,Common,240438,5004661
1,Faithless Salvaging,Faithless Salvaging,Modern Horizons 2,122,MH2,Normal,Near Mint,English,Common,240204,4989140
1,Weather the Storm (Retro Frame) (Foil Etched),Weather the Storm,Modern Horizons,24,MH1,Foil,Near Mint,English,Uncommon,240160,4985642
1,Glimmer Bairn (Retro Frame),Glimmer Bairn,Modern Horizons 2,413,MH2,Foil,Near Mint,English,Common,240451,5005776
1,Woodfall Primus,Woodfall Primus,Ultimate Masters,195,UMA,Normal,Near Mint,English,Rare,180821,3914700
1,Eternal Witness,Eternal Witness,Double Masters 2022,145,2X2,Normal,Near Mint,English,Uncommon,276603,5699837
1,Rampant Growth (Borderless),Rampant Growth,Double Masters 2022,371,2X2,Normal,Near Mint,English,Common,276333,5691978
1,Ambuscade,Ambuscade,Double Masters 2022,133,2X2,Normal,Near Mint,English,Common,277132,5708549
1,Devoted Druid,Devoted Druid,Double Masters 2022,143,2X2,Foil,Near Mint,English,Uncommon,276658,5701345
1,Herd Baloth,Herd Baloth,Modern Horizons 2,165,MH2,Normal,Near Mint,English,Uncommon,239852,4975696
2,Orchard Strider,Orchard Strider,Modern Horizons 2,169,MH2,Normal,Near Mint,English,Common,239811,4971586
1,Foundation Breaker,Foundation Breaker,Modern Horizons 2,160,MH2,Normal,Near Mint,English,Uncommon,240168,4986392
2,Jade Avenger (Showcase),Jade Avenger,Modern Horizons 2,356,MH2,Normal,Near Mint,English,Common,239822,4972636
1,Timeless Witness (Showcase),Timeless Witness,Modern Horizons 2,358,MH2,Normal,Near Mint,English,Uncommon,240135,4983292
1,Rift Sower,Rift Sower,Modern Horizons 2,170,MH2,Normal,Near Mint,English,Common,239789,4969641
1,Deepwood Denizen,Deepwood Denizen,Modern Horizons 2,155,MH2,Normal,Near Mint,English,Common,240462,5006531
2,Crack Open,Crack Open,Modern Horizons 2,154,MH2,Normal,Near Mint,English,Common,240463,5006641
2,Abundant Harvest (Showcase),Abundant Harvest,Modern Horizons 2,354,MH2,Normal,Near Mint,English,Common,239692,4961711
1,Smell Fear,Smell Fear,Modern Horizons 2,173,MH2,Normal,Near Mint,English,Common,240435,5004331
1,Thraximundar,Thraximundar,Double Masters 2022,287,2X2,Normal,Near Mint,English,Rare,276664,5701640
1,Phyrexian Tyranny,Phyrexian Tyranny,Double Masters 2022,262,2X2,Normal,Near Mint,English,Rare,276269,5689143
1,"Judith, the Scourge Diva","Judith, the Scourge Diva",Double Masters 2022,234,2X2,Normal,Near Mint,English,Rare,277203,5711799
1,Crackling Doom,Crackling Doom,Double Masters 2022,196,2X2,Foil,Near Mint,English,Uncommon,276549,5699308
1,Dreg Mangler,Dreg Mangler,Double Masters 2022,204,2X2,Normal,Near Mint,English,Common,276290,5690188
1,Lightning Helix,Lightning Helix,Double Masters 2022,243,2X2,Foil,Near Mint,English,Uncommon,277207,5711954
1,Balefire Liege,Balefire Liege,Double Masters 2022,180,2X2,Normal,Near Mint,English,Rare,276913,5705405
1,Legion's Initiative,Legion's Initiative,Double Masters 2022,242,2X2,Normal,Near Mint,English,Rare,276794,5703462
1,Qasali Pridemage (Borderless),Qasali Pridemage,Double Masters 2022,386,2X2,Normal,Near Mint,English,Common,277259,5714249
1,Bloodbraid Elf (Borderless),Bloodbraid Elf,Double Masters 2022,373,2X2,Normal,Near Mint,English,Uncommon,276958,5706550
1,Qasali Pridemage,Qasali Pridemage,Double Masters 2022,267,2X2,Normal,Near Mint,English,Common,277216,5712399
1,Villainous Wealth,Villainous Wealth,Double Masters 2022,292,2X2,Normal,Near Mint,English,Rare,276643,5700690
1,Lavalanche,Lavalanche,Double Masters 2022,240,2X2,Normal,Near Mint,English,Rare,276476,5696313
1,"Mathas, Fiend Seeker","Mathas, Fiend Seeker",Double Masters 2022,252,2X2,Normal,Near Mint,English,Rare,276930,5705935
1,Elsha of the Infinite,Elsha of the Infinite,Double Masters 2022,208,2X2,Normal,Near Mint,English,Rare,277188,5711149
1,"Ruric Thar, the Unbowed","Ruric Thar, the Unbowed",Double Masters 2022,271,2X2,Normal,Near Mint,English,Rare,276631,5700170
1,Fiery Justice,Fiery Justice,Double Masters 2022,212,2X2,Normal,Near Mint,English,Rare,276388,5693491
1,Coiling Oracle (Borderless),Coiling Oracle,Double Masters 2022,375,2X2,Normal,Near Mint,English,Common,277246,5713824
1,Burning-Tree Emissary (Borderless),Burning-Tree Emissary,Double Masters 2022,374,2X2,Normal,Near Mint,English,Common,277242,5713649
1,"Varina, Lich Queen","Varina, Lich Queen",Double Masters 2022,291,2X2,Normal,Near Mint,English,Rare,276863,5704277
1,Lavabelly Sliver (Retro Frame) (Foil Etched),Lavabelly Sliver,Modern Horizons,29,MH1,Foil,Near Mint,English,Uncommon,240422,5003061
1,Rakdos Headliner,Rakdos Headliner,Modern Horizons 2,210,MH2,Normal,Near Mint,English,Uncommon,240179,4987552
1,Rakdos Headliner (Showcase),Rakdos Headliner,Modern Horizons 2,374,MH2,Normal,Near Mint,English,Uncommon,240305,4996995
1,Combine Chrysalis,Combine Chrysalis,Modern Horizons 2,191,MH2,Normal,Near Mint,English,Uncommon,240158,4985502
1,Ethersworn Sphinx,Ethersworn Sphinx,Modern Horizons 2,195,MH2,Normal,Near Mint,English,Uncommon,240171,4986672
1,Goblin Anarchomancer (Retro Frame),Goblin Anarchomancer,Modern Horizons 2,421,MH2,Foil,Near Mint,English,Common,240454,5005946
1,Dihada's Ploy,Dihada's Ploy,Modern Horizons 2,193,MH2,Normal,Near Mint,English,Common,240409,5002111
1,Goblin Anarchomancer,Goblin Anarchomancer,Modern Horizons 2,200,MH2,Normal,Near Mint,English,Common,240412,5002441
1,Storm God's Oracle,Storm God's Oracle,Modern Horizons 2,213,MH2,Normal,Near Mint,English,Common,240418,5002781
1,Ethersworn Sphinx (Showcase),Ethersworn Sphinx,Modern Horizons 2,364,MH2,Normal,Near Mint,English,Uncommon,240172,4986782
1,Commander's Sphere,Commander's Sphere,Commander Legends,306,CMR,Normal,Near Mint,English,Common,221355,4535920
1,Noble Heritage,Noble Heritage,Commander Legends: Battle for Baldur's Gate,35,CLB,Normal,Near Mint,English,Rare,272539,5596244
1,"Abdel Adrian, Gorion's Ward (Foil Etched)","Abdel Adrian, Gorion's Ward",Commander Legends: Battle for Baldur's Gate,471,CLB,Foil,Near Mint,English,Uncommon,272667,5606821
1,Gale's Redirection,Gale's Redirection,Commander Legends: Battle for Baldur's Gate,73,CLB,Normal,Near Mint,English,Rare,272917,5618491
1,"Gale, Waterdeep Prodigy (Showcase)","Gale, Waterdeep Prodigy",Commander Legends: Battle for Baldur's Gate,383,CLB,Normal,Near Mint,English,Rare,272641,5604809
1,"Volo, Itinerant Scholar (Showcase)","Volo, Itinerant Scholar",Commander Legends: Battle for Baldur's Gate,388,CLB,Normal,Near Mint,English,Mythic,272538,5596154
1,"Vhal, Candlekeep Researcher (Foil Etched)","Vhal, Candlekeep Researcher",Commander Legends: Battle for Baldur's Gate,490,CLB,Foil,Near Mint,English,Uncommon,272768,5613203
1,Feywild Visitor (Foil Etched),Feywild Visitor,Commander Legends: Battle for Baldur's Gate,484,CLB,Foil,Near Mint,English,Uncommon,272794,5614773
1,"Viconia, Drow Apostate (Foil Etched)","Viconia, Drow Apostate",Commander Legends: Battle for Baldur's Gate,501,CLB,Foil,Near Mint,English,Uncommon,272764,5612963
1,"Shadowheart, Dark Justiciar (Foil Etched)","Shadowheart, Dark Justiciar",Commander Legends: Battle for Baldur's Gate,499,CLB,Foil,Near Mint,English,Rare,272799,5615028
1,Ravenloft Adventurer,Ravenloft Adventurer,Commander Legends: Battle for Baldur's Gate,142,CLB,Normal,Near Mint,English,Rare,273023,5625372
2,Cultist of the Absolute,Cultist of the Absolute,Commander Legends: Battle for Baldur's Gate,123,CLB,Normal,Near Mint,English,Rare,272636,5604359
1,"Shadowheart, Dark Justiciar","Shadowheart, Dark Justiciar",Commander Legends: Battle for Baldur's Gate,146,CLB,Normal,Near Mint,English,Rare,272745,5611643
1,Tavern Brawler (Foil Etched),Tavern Brawler,Commander Legends: Battle for Baldur's Gate,511,CLB,Foil,Near Mint,English,Common,273416,5644214
1,Popular Entertainer (Foil Etched),Popular Entertainer,Commander Legends: Battle for Baldur's Gate,509,CLB,Foil,Near Mint,English,Rare,272953,5621651
1,"Ganax, Astral Hunter (Foil Etched)","Ganax, Astral Hunter",Commander Legends: Battle for Baldur's Gate,504,CLB,Foil,Near Mint,English,Uncommon,272948,5621251
1,Caves of Chaos Adventurer,Caves of Chaos Adventurer,Commander Legends: Battle for Baldur's Gate,167,CLB,Normal,Near Mint,English,Rare,273297,5632544
1,Firbolg Flutist,Firbolg Flutist,Commander Legends: Battle for Baldur's Gate,174,CLB,Normal,Near Mint,English,Rare,272739,5611043
1,Elturel Survivors,Elturel Survivors,Commander Legends: Battle for Baldur's Gate,172,CLB,Normal,Near Mint,English,Rare,272963,5622201
1,Wand of Wonder,Wand of Wonder,Commander Legends: Battle for Baldur's Gate,204,CLB,Normal,Near Mint,English,Rare,267050,5476584
1,"Rograkh, Son of Rohgahh","Rograkh, Son of Rohgahh",Commander Legends,197,CMR,Normal,Near Mint,English,Uncommon,226641,4637571
2,Earthquake Dragon,Earthquake Dragon,Commander Legends: Battle for Baldur's Gate,228,CLB,Normal,Near Mint,English,Rare,273062,5626597
1,"Bane, Lord of Darkness (Foil Etched)","Bane, Lord of Darkness",Commander Legends: Battle for Baldur's Gate,526,CLB,Foil,Near Mint,English,Rare,272956,5621801
2,"Jon Irenicus, Shattered One","Jon Irenicus, Shattered One",Commander Legends: Battle for Baldur's Gate,278,CLB,Normal,Near Mint,English,Rare,272528,5595839
1,"Myrkul, Lord of Bones","Myrkul, Lord of Bones",Commander Legends: Battle for Baldur's Gate,287,CLB,Foil,Near Mint,English,Rare,272620,5602984
2,"Zevlor, Elturel Exile","Zevlor, Elturel Exile",Commander Legends: Battle for Baldur's Gate,296,CLB,Normal,Near Mint,English,Rare,272666,5606741
1,"Jan Jansen, Chaos Crafter","Jan Jansen, Chaos Crafter",Commander Legends: Battle for Baldur's Gate,277,CLB,Normal,Near Mint,English,Rare,272935,5620201
1,"Baba Lysaga, Night Witch","Baba Lysaga, Night Witch",Commander Legends: Battle for Baldur's Gate,266,CLB,Normal,Near Mint,English,Rare,272629,5603749
1,"Mazzy, Truesword Paladin","Mazzy, Truesword Paladin",Commander Legends: Battle for Baldur's Gate,283,CLB,Normal,Near Mint,English,Rare,272637,5604459
1,"Neera, Wild Mage","Neera, Wild Mage",Commander Legends: Battle for Baldur's Gate,288,CLB,Normal,Near Mint,English,Rare,273198,5630490
1,"Bhaal, Lord of Murder","Bhaal, Lord of Murder",Commander Legends: Battle for Baldur's Gate,268,CLB,Normal,Near Mint,English,Rare,272646,5605239
1,Duke Ulder Ravengard,Duke Ulder Ravengard,Commander Legends: Battle for Baldur's Gate,272,CLB,Normal,Near Mint,English,Rare,272731,5610243
1,Alaundo the Seer (Foil Etched),Alaundo the Seer,Commander Legends: Battle for Baldur's Gate,523,CLB,Foil,Near Mint,English,Rare,272808,5615558
1,"Kagha, Shadow Archdruid (Foil Etched)","Kagha, Shadow Archdruid",Commander Legends: Battle for Baldur's Gate,537,CLB,Foil,Near Mint,English,Uncommon,272959,5621951
1,"Juri, Master of the Revue","Juri, Master of the Revue",Commander Legends,282,CMR,Normal,Near Mint,English,Uncommon,226990,4655083
1,Izzet Signet,Izzet Signet,Commander 2021,247,C21,Normal,Near Mint,English,Common,236213,4890159
2,Boros Signet,Boros Signet,Commander 2020,239,C20,Normal,Near Mint,English,Uncommon,212341,4381614
1,Izzet Signet,Izzet Signet,Commander 2020,243,C20,Normal,Near Mint,English,Uncommon,212343,4381694
1,Azorius Signet,Azorius Signet,Commander 2020,238,C20,Normal,Near Mint,English,Uncommon,212340,4381574
1,Arcane Signet,Arcane Signet,Commander 2021,234,C21,Normal,Near Mint,English,Common,236120,4887469
2,Arcane Signet,Arcane Signet,Commander 2020,237,C20,Normal,Near Mint,English,Common,212120,4368600
1,Simic Signet,Simic Signet,Commander 2016,270,C16,Normal,Near Mint,English,Common,124628,3247079
1,Simic Signet,Simic Signet,Commander 2021,262,C21,Normal,Near Mint,English,Common,236327,4893717
1,Azorius Signet,Azorius Signet,Commander 2018,196,C18,Normal,Near Mint,English,Uncommon,171107,3808298
1,Rakdos Signet,Rakdos Signet,Commander 2020,249,C20,Normal,Near Mint,English,Uncommon,212350,4381974
1,Orzhov Signet,Orzhov Signet,Commander 2020,247,C20,Normal,Near Mint,English,Uncommon,212346,4381814
1,Mimic Vat,Mimic Vat,Commander: Streets of New Capenna,372,NCC,Normal,Near Mint,English,Rare,269352,5535803
1,Commander's Sphere,Commander's Sphere,Commander 2020,240,C20,Normal,Near Mint,English,Common,212199,4372543
1,Druidic Satchel,Druidic Satchel,Commander 2021,241,C21,Normal,Near Mint,English,Rare,236580,4901490
1,Artisan of Kozilek,Artisan of Kozilek,Commander 2014,62,C14,Normal,Near Mint,English,Uncommon,94213,1270382
1,Elixir of Immortality,Elixir of Immortality,Commander 2021,243,C21,Normal,Near Mint,English,Uncommon,236594,4902030
1,Cathodion,Cathodion,Commander Anthology Volume II,179,CM2,Normal,Near Mint,English,Uncommon,166756,3744366
1,Meteor Golem,Meteor Golem,Commander 2021,250,C21,Normal,Near Mint,English,Uncommon,236100,4886807
1,Desolation Twin,Desolation Twin,Commander 2021,82,C21,Normal,Near Mint,English,Rare,236306,4892682
1,Idol of Oblivion,Idol of Oblivion,Commander 2021,246,C21,Normal,Near Mint,English,Rare,236326,4893667
1,Geometric Nexus,Geometric Nexus,Commander 2021,77,C21,Normal,Near Mint,English,Rare,236274,4891229
1,Fellwar Stone,Fellwar Stone,Commander: Dominaria United,182,DMC,Normal,Near Mint,English,Uncommon,282959,5753249
1,Commander's Sphere,Commander's Sphere,Commander: Dominaria United,181,DMC,Normal,Near Mint,English,Common,282957,5753029
1,Prophetic Prism,Prophetic Prism,Commander: Dominaria United,189,DMC,Normal,Near Mint,English,Common,283031,5755654
1,Transguild Courier,Transguild Courier,Commander: Dominaria United,194,DMC,Normal,Near Mint,English,Uncommon,282965,5753609
1,Smuggler's Buggy,Smuggler's Buggy,Commander: Streets of New Capenna,84,NCC,Normal,Near Mint,English,Rare,269236,5533818
1,Cast Out,Cast Out,Commander 2020,79,C20,Normal,Near Mint,English,Uncommon,212338,4381494
1,Spirit Cairn,Spirit Cairn,Commander 2020,100,C20,Normal,Near Mint,English,Uncommon,212419,4384805
1,Echoing Truth,Echoing Truth,Commander: Dominaria United,109,DMC,Normal,Near Mint,English,Common,283002,5754849
1,Theoretical Duplication,Theoretical Duplication,Commander 2021,34,C21,Normal,Near Mint,English,Rare,236286,4891682
1,Perplexing Test,Perplexing Test,Commander 2021,30,C21,Normal,Near Mint,English,Rare,236280,4891431
1,Champion of Wits,Champion of Wits,Commander 2021,116,C21,Normal,Near Mint,English,Rare,236291,4891932
1,Commander's Insight,Commander's Insight,Commander 2021,23,C21,Normal,Near Mint,English,Rare,236262,4890972
1,Crafty Cutpurse,Crafty Cutpurse,Commander 2021,117,C21,Normal,Near Mint,English,Rare,236297,4892232
1,Reef Worm,Reef Worm,Commander 2021,127,C21,Normal,Near Mint,English,Rare,236300,4892382
1,Vizier of Tumbling Sands,Vizier of Tumbling Sands,Commander 2020,126,C20,Normal,Near Mint,English,Uncommon,212370,4382845
1,Replication Technique,Replication Technique,Commander 2021,31,C21,Normal,Near Mint,English,Rare,236281,4891481
1,Curse of the Swine,Curse of the Swine,Commander 2021,118,C21,Normal,Near Mint,English,Rare,236310,4892882
1,Flawless Forgery,Flawless Forgery,Commander: Streets of New Capenna,26,NCC,Normal,Near Mint,English,Rare,269243,5534168
1,Serum Visions,Serum Visions,Commander 2021,129,C21,Normal,Near Mint,English,Uncommon,236201,4889755
1,Treasure Cruise,Treasure Cruise,Commander 2021,133,C21,Normal,Near Mint,English,Common,236203,4889806
