Count,Name,Foil,Edition,acquired_price,tcg_mid,tcg_low,foil_price,Condition,Language
"1","Wild Nacatl","0","Duel Decks: Ajani vs. Nicol Bolas","1.21","1.22","0.4","-","NM","EN",
"1","Wild Nacatl","0","Duel Decks: Ajani vs. Nicol Bolas","1.21","1.22","0.4","-","NM","EN",
"1","Wild Nacatl","0","Duel Decks: Ajani vs. Nicol Bolas","1.21","1.22","0.4","-","NM","EN",
"1","Wild Nacatl","0","Duel Decks: Ajani vs. Nicol Bolas","1.21","1.22","0.4","-","NM","EN",
"1","Disrupting Shoal","0","Betrayers of Kamigawa","4.30","4.42","1.22","27.53","NM","EN",
"1","Disrupting Shoal","0","Betrayers of Kamigawa","4.30","4.42","1.22","27.53","NM","EN",
"1","Disrupting Shoal","0","Betrayers of Kamigawa","4.30","4.42","1.22","27.53","NM","EN",
"1","Disrupting Shoal","0","Betrayers of Kamigawa","4.30","4.42","1.22","27.53","NM","EN",
"1","Blinkmoth Nexus","0","Darksteel","8.50","7.00","5.49","55.43","NM","EN",
"1","Blinkmoth Nexus","0","Darksteel","8.50","7.00","5.49","55.43","NM","EN",
"1","Blinkmoth Nexus","0","Darksteel","8.50","7.00","5.49","55.43","NM","EN",
"1","Blinkmoth Nexus","0","Darksteel","8.50","7.00","5.49","55.43","NM","EN",
"1","Polluted Delta","0","Onslaught","32.00","55.79","43.77","599.99","NM","EN",
"1","Polluted Delta","0","Onslaught","26.00","55.79","43.77","599.99","NM","EN",
"1","Fleecemane Lion","1","Theros","3.99","0.71","0.3","2.47","NM","EN",
"1","Merieke Ri Berit","1","Time Spiral ""Timeshifted""","31.47","1.25","0.79","18.75","NM","EN",
"1","Amulet of Vigor","0","Worldwake","3.00","28.67","24.99","52.45","NM","EN",
"1","Amulet of Vigor","0","Worldwake","3.00","28.67","24.99","52.45","NM","EN",
"1","Lighthouse Chronologist","0","Rise of the Eldrazi","8.67","11.58","9","19.58","NM","EN",
"1","Root Maze","0","Tempest","0.47","3.70","2.88","-","NM","EN",
"1","Root Maze","0","Tempest","0.47","3.70","2.88","-","NM","EN",
"1","Root Maze","1","Tenth Edition","1.50","3.82","1.99","27.57","NM","EN",
"1","Root Maze","1","Tenth Edition","1.50","3.82","1.99","27.57","NM","EN",
"1","Root Maze","1","Tenth Edition","1.50","3.82","1.99","27.57","NM","EN",
"1","Root Maze","1","Tenth Edition","1.50","3.82","1.99","27.57","NM","EN",
"1","Root Maze","1","Tenth Edition","1.50","3.82","1.99","27.57","NM","EN",
"1","Pendelhaven","0","Legends","2.50","13.71","6.54","-","NM","EN",
"1","Pendelhaven","0","Legends","2.50","13.71","6.54","-","NM","EN",
"1","Pendelhaven","0","Legends","2.50","13.71","6.54","-","NM","EN",
"1","Doran, the Siege Tower","0","Lorwyn","6.00","6.70","3","16.29","NM","EN",
"1","Doran, the Siege Tower","0","Lorwyn","6.00","6.70","3","16.29","NM","EN",
"1","Doran, the Siege Tower","0","Lorwyn","6.00","6.70","3","16.29","NM","EN",
"1","Doran, the Siege Tower","1","From the Vault: Legends","3.00","-","-","8.02","NM","EN",
"1","Windswept Heath","0","Khans of Tarkir","10.00","17.00","12.79","38.33","NM","EN",
"1","Windswept Heath","0","Khans of Tarkir","10.00","17.00","12.79","38.33","NM","EN",
"1","Windswept Heath","0","Khans of Tarkir","10.00","17.00","12.79","38.33","NM","EN",
"1","Windswept Heath","0","Khans of Tarkir","10.00","17.00","12.79","38.33","NM","EN",
"1","Windswept Heath","0","Khans of Tarkir","10.00","17.00","12.79","38.33","NM","EN",
"1","Temple Garden","0","Return to Ravnica","8.76","6.24","4","16.30","NM","EN",
"1","Temple Garden","0","Return to Ravnica","8.76","6.24","4","16.30","NM","EN",
"1","Disrupting Shoal","0","Betrayers of Kamigawa","5.00","4.42","1.22","27.53","NM","EN",
"1","Voice of Resurgence","0","Dragon's Maze","15.00","8.03","5","33.38","NM","EN",
"1","Batterskull","1","Grand Prix Promos","16.24","-","-","16.68","NM","EN",
"1","Ojutai's Command","1","Media Promos","4.74","-","-","1.04","NM","EN",
"1","Ojutai's Command","1","Media Promos","4.74","-","-","1.04","NM","EN",
"1","Mutavault","0","Morningtide","11.50","13.09","8","40.42","NM","EN",
"1","Sword of Fire and Ice","0","Darksteel","45.19","54.28","44.53","80.99","NM","EN",
"1","Ashiok, Nightmare Weaver","1","Theros","27.20","7.97","5.03","18.04","NM","EN",
"1","Geist of Saint Traft","1","WPN promos","30.00","10.49","6","20.04","NM","EN",
"1","Geist of Saint Traft","1","WPN promos","30.00","10.49","6","20.04","NM","EN",
"1","Geist of Saint Traft","1","WPN promos","30.00","10.49","6","20.04","NM","EN",
"1","Ashiok, Nightmare Weaver","1","Theros","21.00","7.97","5.03","18.04","NM","EN",
"1","Ashiok, Nightmare Weaver","1","Theros","21.00","7.97","5.03","18.04","NM","EN",
"1","Ashiok, Nightmare Weaver","1","Theros","21.00","7.97","5.03","18.04","NM","EN",
"1","Geist of Saint Traft","1","WPN promos","30.00","10.49","6","20.04","NM","EN",
"1","Garruk, Apex Predator","0","Magic 2015 Core Set","14.93","15.63","11","32.74","NM","EN",
"1","Ashiok, Nightmare Weaver","1","Theros","35.00","7.97","5.03","18.04","NM","EN",
"1","Ashiok, Nightmare Weaver","1","Theros","24.00","7.97","5.03","18.04","NM","EN",
"1","Mutavault","0","Magic 2014 Core Set","11.50","8.98","6.44","14.99","NM","EN",
"1","Polymorph","1","Magic 2010","1.50","1.20","0.59","4.99","NM","EN",
"1","Polymorph","1","Magic 2010","1.50","1.20","0.59","4.99","NM","EN",
"1","Polymorph","1","Magic 2010","1.50","1.20","0.59","4.99","NM","EN",
"1","Polymorph","1","Magic 2010","1.50","1.20","0.59","4.99","NM","EN",
"1","Shu Yun, the Silent Tempest","1","Fate Reforged","4.49","0.37","0.08","1.66","NM","EN",
"1","Shu Yun, the Silent Tempest","1","Fate Reforged","4.49","0.37","0.08","1.66","NM","EN",
"1","Shu Yun, the Silent Tempest","1","Fate Reforged","4.49","0.37","0.08","1.66","NM","EN",
"1","Shu Yun, the Silent Tempest","1","Fate Reforged","4.49","0.37","0.08","1.66","NM","EN",
"1","Cryptic Command","1","Modern Masters","75.00","26.59","21.99","39.99","NM","EN",
"1","Cryptic Command","1","Modern Masters","75.49","26.59","21.99","39.99","NM","EN",
"1","Repeal","1","Modern Masters 2015 Edition","1.00","0.18","0.07","0.61","NM","EN",
"1","Cryptic Command","1","Magic Player Rewards","35.00","-","-","69.94","NM","EN",
"1","AEtherling","0","Dragon's Maze","0.38","0.43","0.13","2.07","NM","EN",
"1","Birds of Paradise","0","Revised Edition","4.80","13.37","9.37","-","NM","EN",
"1","Alesha, Who Smiles at Death","1","Fate Reforged","5.00","0.41","0.19","4.15","NM","EN",
"1","Remand","0","Ravnica: City of Guilds","13.00","6.32","4.24","22.94","NM","EN",
"1","Path to Exile","1","WPN Promos","4.00","10.60","6","16.11","NM","EN",
"1","Gideon Jura","0","Rise of the Eldrazi","5.05","4.05","2.12","40.84","NM","EN",
"1","Timely Reinforcements","0","Magic 2012","2.83","1.90","0.89","23.48","NM","EN",
"1","Remand","0","Ravnica: City of Guilds","13.00","6.32","4.24","22.94","NM","EN",
"1","Remand","0","Ravnica: City of Guilds","13.00","6.32","4.24","22.94","NM","EN",
"1","Timely Reinforcements","0","Magic 2012","2.83","1.90","0.89","23.48","NM","EN",
"1","Duress","0","Magic 2014 Core Set","0.24","0.17","0.01","0.85","NM","EN",
"1","Thoughtseize","0","Theros","22.78","14.12","10.1","36.30","NM","EN",
"1","Thoughtseize","0","Theros","22.78","14.12","10.1","36.30","NM","EN",
"1","Thoughtseize","0","Theros","22.78","14.12","10.1","36.30","NM","EN",
"1","Thoughtseize","0","Theros","22.78","14.12","10.1","36.30","NM","EN",
"1","Celestial Colonnade","0","Worldwake","18.04","19.79","12.99","72.57","NM","EN",
"1","Creeping Tar Pit","0","Worldwake","5.00","7.95","4.07","48.41","NM","EN",
"1","Flooded Strand","0","Onslaught","34.15","39.99","32.32","263.46","NM","EN",
"1","Path to Exile","1","WPN Promos","4.00","10.60","6","16.11","NM","EN",
"1","Path to Exile","1","WPN Promos","3.00","10.60","6","16.11","NM","EN",
"1","Lingering Souls","0","Dark Ascension","0.54","0.84","0.4","7.59","NM","EN",
"1","Jace, the Mind Sculptor","0","Worldwake","91.20","135.99","115","446.00","NM","EN",
"1","Sensei's Divining Top","0","Champions of Kamigawa","31.57","28.58","23.69","72.90","NM","EN",
"1","Mox Diamond","0","Stronghold","28.17","208.51","195","-","NM","EN",
"1","Entomb","1","Premium Deck Series: Graveborn","18.00","-","-","13.53","NM","EN",
"1","Show and Tell","0","Urza's Saga","64.94","18.99","14","-","NM","EN",
"1","Natural Order","0","Visions","37.99","16.06","13.5","-","NM","EN",
"1","Karakas","0","Legends","60.00","73.08","48","-","NM","EN",
"1","Vizkopa Guildmage","0","Gatecrash","0.27","0.29","0.11","1.46","NM","EN",
"1","Vizkopa Guildmage","0","Gatecrash","0.27","0.29","0.11","1.46","NM","EN",
"1","Vizkopa Guildmage","0","Gatecrash","0.27","0.29","0.11","1.46","NM","EN",
"1","Vizkopa Guildmage","0","Gatecrash","0.27","0.29","0.11","1.46","NM","EN",
"1","Path to Exile","0","Modern Masters","3.00","10.45","6.5","12.52","NM","EN",
"1","Delver of Secrets","1","Innistrad","4.00","1.79","0.1","7.57","NM","EN",
"1","Delver of Secrets","1","Innistrad","4.00","1.79","0.1","7.57","NM","EN",
"1","Delver of Secrets","1","Innistrad","4.00","1.79","0.1","7.57","NM","EN",
"1","Delver of Secrets","1","Innistrad","4.00","1.79","0.1","7.57","NM","EN",
"1","Path to Exile","0","Modern Masters","8.31","10.45","6.5","12.52","NM","EN",
"1","Path to Exile","0","Modern Masters","8.31","10.45","6.5","12.52","NM","EN",
"1","Tasigur, the Golden Fang","0","Fate Reforged","6.18","1.10","0.37","8.51","NM","EN",
"1","Sword of Feast and Famine","0","Mirrodin Besieged","16.83","39.99","35.59","57.97","NM","EN",
"1","Flooded Strand","0","Khans of Tarkir","14.35","27.16","22.8","49.99","NM","EN",
"1","Yasova Dragonclaw","1","Fate Reforged","3.42","0.35","0.13","1.44","NM","EN",
"1","Yasova Dragonclaw","1","Fate Reforged","3.42","0.35","0.13","1.44","NM","EN",
"1","Yasova Dragonclaw","1","Fate Reforged","3.42","0.35","0.13","1.44","NM","EN",
"1","Yasova Dragonclaw","1","Fate Reforged","3.42","0.35","0.13","1.44","NM","EN",
"1","Murmuring Bosk","0","Morningtide","2.73","1.67","0.7","8.08","NM","EN",
"1","Mutavault","0","Magic 2014 Core Set","11.50","8.98","6.44","14.99","NM","EN",
"1","Mutavault","0","Magic 2014 Core Set","11.50","8.98","6.44","14.99","NM","EN",
"1","Goblin Rabblemaster","0","Magic 2015 Core Set","7.00","3.53","2","8.40","NM","EN",
"1","Chandra, Fire of Kaladesh","0","Magic Origins","9.00","2.26","1","5.69","NM","EN",
"1","Chandra, Fire of Kaladesh","0","Magic Origins","9.00","2.26","1","5.69","NM","EN",
"1","Chandra, Fire of Kaladesh","1","Magic Origins","34.00","2.26","1","5.69","NM","EN",
"1","Icefall Regent","0","Dragons of Tarkir","1.47","0.48","0.12","1.21","NM","EN",
"1","Icefall Regent","0","Dragons of Tarkir","1.47","0.48","0.12","1.21","NM","EN",
"1","Icefall Regent","0","Dragons of Tarkir","1.47","0.48","0.12","1.21","NM","EN",
"1","Icefall Regent","0","Dragons of Tarkir","1.47","0.48","0.12","1.21","NM","EN",
"1","Sarkhan, the Dragonspeaker","0","Khans of Tarkir","4.00","1.93","0.87","5.00","NM","EN",
"1","Sarkhan, the Dragonspeaker","0","Khans of Tarkir","4.00","1.93","0.87","5.00","NM","EN",
"1","Sarkhan, the Dragonspeaker","0","Khans of Tarkir","4.00","1.93","0.87","5.00","NM","EN",
"1","Sarkhan, the Dragonspeaker","0","Khans of Tarkir","4.00","1.93","0.87","5.00","NM","EN",
"1","Path to Exile","0","Archenemy","10.21","10.42","8.31","-","NM","EN",
"1","Torrent Elemental","0","Fate Reforged","1.16","0.71","0.3","1.87","NM","EN",
"1","Torrent Elemental","0","Fate Reforged","1.16","0.71","0.3","1.87","NM","EN",
"1","Torrent Elemental","0","Fate Reforged","1.16","0.71","0.3","1.87","NM","EN",
"1","Thopter Engineer","0","Magic Origins","0.31","0.25","0.01","1.15","NM","EN",
"1","Thopter Engineer","0","Magic Origins","0.31","0.25","0.01","1.15","NM","EN",
"1","Thopter Engineer","0","Magic Origins","0.31","0.25","0.01","1.15","NM","EN",
"1","Thopter Engineer","0","Magic Origins","0.31","0.25","0.01","1.15","NM","EN",
"1","Lightning Strike","0","Theros","0.13","0.19","0.02","2.00","NM","EN",
"1","Lightning Strike","0","Theros","0.13","0.19","0.02","2.00","NM","EN",
"1","Lightning Strike","0","Theros","0.13","0.19","0.02","2.00","NM","EN",
"1","Lightning Strike","0","Theros","0.13","0.19","0.02","2.00","NM","EN",
"1","Glistener Elf","1","New Phyrexia","0.61","0.85","0.47","5.70","NM","EN",
"1","Glistener Elf","1","New Phyrexia","0.61","0.85","0.47","5.70","NM","EN",
"1","Glistener Elf","1","New Phyrexia","0.20","0.85","0.47","5.70","NM","EN",
"1","Glistener Elf","1","New Phyrexia","0.61","0.85","0.47","5.70","NM","EN",
"1","Anafenza, Kin-Tree Spirit","0","Dragons of Tarkir","2.12","0.84","0.4","3.51","NM","EN",
"1","Anafenza, Kin-Tree Spirit","0","Dragons of Tarkir","2.12","0.84","0.4","3.51","NM","EN",
"1","Anafenza, Kin-Tree Spirit","0","Dragons of Tarkir","2.12","0.84","0.4","3.51","NM","EN",
"1","Anafenza, Kin-Tree Spirit","0","Dragons of Tarkir","2.12","0.84","0.4","3.51","NM","EN",
"1","Hardened Scales","1","Khans of Tarkir","2.53","4.49","2.7","12.50","NM","EN",
"1","Abbot of Keral Keep","1","Magic Origins","12.00","0.63","0.15","2.65","NM","EN",
"1","Abbot of Keral Keep","1","Magic Origins","12.00","0.63","0.15","2.65","NM","EN",
"1","Abbot of Keral Keep","1","Magic Origins","12.00","0.63","0.15","2.65","NM","EN",
"1","Abbot of Keral Keep","1","Magic Origins","12.00","0.63","0.15","2.65","NM","EN",
"1","Gitaxian Probe","0","New Phyrexia","0.15","1.71","0.9","7.69","NM","EN",
"1","Abbot of Keral Keep","1","Magic Origins","12.00","0.63","0.15","2.65","NM","EN",
"1","Abbot of Keral Keep","1","Magic Origins","12.00","0.63","0.15","2.65","NM","EN",
"1","Abbot of Keral Keep","1","Magic Origins","12.00","0.63","0.15","2.65","NM","EN",
"1","Abbot of Keral Keep","1","Magic Origins","12.00","0.63","0.15","2.65","NM","EN",
"1","Bitterblossom","0","Modern Masters 2015 Edition","22.00","40.00","32.98","50.79","NM","EN",
"1","Koskun Falls","0","Homelands","0.94","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.94","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.94","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.94","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Koskun Falls","0","Homelands","0.99","5.77","3.5","-","NM","EN",
"1","Ojutai's Command","1","Media Promos","4.74","-","-","1.04","NM","EN",
"1","Ojutai's Command","1","Media Promos","4.74","-","-","1.04","NM","EN",
"1","Kozilek's Channeler","0","Battle for Zendikar","0.14","0.17","0.01","0.72","NM","EN",
"1","Kozilek's Channeler","0","Battle for Zendikar","0.14","0.17","0.01","0.72","NM","EN",
"1","Kozilek's Channeler","0","Battle for Zendikar","0.14","0.17","0.01","0.72","NM","EN",
"1","Cryptic Command","0","Modern Masters 2015 Edition","28.02","27.21","23.5","39.99","NM","EN",
"1","Secure the Wastes","0","Dragons of Tarkir","1.00","3.95","2.31","12.90","NM","EN",
"1","Secure the Wastes","0","Dragons of Tarkir","1.00","3.95","2.31","12.90","NM","EN",
"1","Secure the Wastes","0","Dragons of Tarkir","1.00","3.95","2.31","12.90","NM","EN",
"1","Secure the Wastes","0","Dragons of Tarkir","1.00","3.95","2.31","12.90","NM","EN",
"1","Secure the Wastes","0","Dragons of Tarkir","1.00","3.95","2.31","12.90","NM","EN",
"1","Secure the Wastes","0","Dragons of Tarkir","1.00","3.95","2.31","12.90","NM","EN",
"1","Geist of Saint Traft","0","Innistrad","15.39","10.49","6","27.55","NM","EN",
"1","Geist of Saint Traft","0","Innistrad","12.00","10.49","6","27.55","NM","EN",
"1","Geist of Saint Traft","0","Innistrad","12.00","10.49","6","27.55","NM","EN",
"1","Geist of Saint Traft","0","Innistrad","12.00","10.49","6","27.55","NM","EN",
"1","Inventors' Fair","0","Kaladesh","1.17","2.99","1.35","12.90","NM","EN",
"1","Bitterblossom","0","Morningtide","29.68","41.00","32.89","92.50","NM","EN",
"1","Ghost Quarter","0","Innistrad","0.34","1.51","0.85","21.89","NM","EN",
"1","Ghost Quarter","0","Innistrad","0.34","1.51","0.85","21.89","NM","EN",
"1","Ghost Quarter","1","Innistrad","2.00","1.51","0.85","21.89","NM","EN",
"1","Delver of Secrets","0","Innistrad","1.51","1.79","0.1","7.57","NM","EN",
"1","Delver of Secrets","0","Innistrad","1.51","1.79","0.1","7.57","NM","EN",
"1","Delver of Secrets","0","Innistrad","1.51","1.79","0.1","7.57","NM","EN",
"1","Delver of Secrets","0","Innistrad","1.51","1.79","0.1","7.57","NM","EN",
"1","Azorius Charm","0","Return to Ravnica","0.10","0.25","0.07","1.40","NM","EN",
"1","Azorius Charm","0","Return to Ravnica","0.10","0.25","0.07","1.40","NM","EN",
"1","Azorius Charm","0","Return to Ravnica","0.10","0.25","0.07","1.40","NM","EN",
"1","Azorius Charm","0","Return to Ravnica","0.10","0.25","0.07","1.40","NM","EN",
"1","Thoughtseize","0","Theros","12.00","14.12","10.1","36.30","NM","EN",
"1","Disrupting Shoal","0","Betrayers of Kamigawa","11.76","4.42","1.22","27.53","NM","EN",
"1","Disrupting Shoal","0","Betrayers of Kamigawa","11.76","4.42","1.22","27.53","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.40","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.40","0.30","0.15","3.65","NM","EN",
"1","Ponder","0","Magic 2012","1.03","1.95","1.1","30.39","NM","EN",
"1","Ponder","0","Magic 2012","1.03","1.95","1.1","30.39","NM","EN",
"1","Ponder","0","Magic 2012","1.03","1.95","1.1","30.39","NM","EN",
"1","Ponder","0","Magic 2012","1.03","1.95","1.1","30.39","NM","EN",
